CSD refcode,CIF filename,original crystal system,Sohncke space group,Percentage void space,Charged framework,Hydrogen added,Unreliable chemistry
GUGVIQ,gugviq_P1,orthorhombic,-,37.318,-,-,-
GUHHID,guhhid_P1,monoclinic,-,18.023,-,-,-
GUHHOJ,guhhoj_P1,monoclinic,-,10.505,-,-,-
GUHMIH,guhmih_P1_charged_H,cubic,Yes,32.218,Yes,Yes,Yes
GUHNUU,guhnuu_P1,monoclinic,-,24.819,-,-,-
GUHPAC,guhpac_P1,monoclinic,-,24.641,-,-,-
GUJREK,gujrek_P1_charged_H,orthorhombic,Yes,28.373,Yes,Yes,-
GUJREK01,gujrek01_P1_charged_H,orthorhombic,Yes,28.359,Yes,Yes,-
GUJVOX,gujvox_P1,triclinic,-,15.603,-,-,-
GUKBUL,gukbul_P1_charged_H,monoclinic,-,23.038,Yes,Yes,-
GUKMAD,gukmad_P1,monoclinic,-,26.063,-,-,-
GUKNIK,guknik_P1_H,triclinic,-,16.517,-,Yes,-
GUKNIM,guknim_P1,orthorhombic,-,23.816,-,-,-
GUKNOS,guknos_P1_H,orthorhombic,-,24.842,-,Yes,-
GUKPEJ,gukpej_P1,rhombohedral,-,10.639,-,-,-
GUKQUZ,gukquz_P1_H,cubic,-,71.966,-,Yes,Yes
GUKVAK,gukvak_P1_H,monoclinic,-,11.843,-,Yes,Yes
GUKVEO,gukveo_P1_H,orthorhombic,-,15.932,-,Yes,-
GUKVIS,gukvis_P1_H,orthorhombic,-,24.901,-,Yes,-
GUKYUI,gukyui_P1_charged,monoclinic,-,21.602,Yes,-,-
GULGEZ,gulgez_P1_H,trigonal,-,30.857,-,Yes,-
GULPIN,gulpin_P1,monoclinic,-,22.446,-,-,-
GULVUF,gulvuf_P1_H,orthorhombic,-,63.843,-,Yes,Yes
GULWOA,gulwoa_P1_H,monoclinic,-,39.33,-,Yes,Yes
GUMBIA,gumbia_P1_charged,monoclinic,-,11.149,Yes,-,-
GUMDEZ,gumdez_P1,monoclinic,-,34.577,-,-,-
GUNZIA,gunzia_P1,tetragonal,-,35.438,-,-,-
GUPBEZ,gupbez_P1,tetragonal,-,17.57,-,-,-
GUPBEZ01,gupbez01_P1,tetragonal,-,18.558,-,-,-
GUPBOJ01,gupboj01_P1,monoclinic,-,15.295,-,-,-
GUPCOK,gupcok_P1,cubic,-,39.654,-,-,-
GUPCUQ01,gupcuq01_P1,cubic,-,53.867,-,-,-
GUPDEB,gupdeb_P1,cubic,-,63.309,-,-,-
GUPDIF,gupdif_P1,cubic,-,22.728,-,-,-
GUPDOL,gupdol_P1,cubic,-,12.864,-,-,-
GUPFAZ,gupfaz_P1,rhombohedral,-,14.222,-,-,-
GUPJEG,gupjeg_P1,monoclinic,-,18.536,-,-,-
GUPJEG01,gupjeg01_P1,monoclinic,-,18.206,-,-,-
GUQLOW,guqlow_P1,rhombohedral,-,21.927,-,-,-
GUQQAN,guqqan_P1,monoclinic,-,32.841,-,-,-
GUQWOG,guqwog_P1,monoclinic,-,51.054,-,-,-
GURBUS,gurbus_P1,monoclinic,-,25.222,-,-,-
GURCAZ,gurcaz_P1,monoclinic,-,24.792,-,-,-
GURPUF,gurpuf_P1,orthorhombic,-,74.136,-,-,-
GURTIX,gurtix_P1_H,orthorhombic,-,46.952,-,Yes,Yes
GURTUJ,gurtuj_P1,triclinic,-,14.365,-,-,-
GUSCIH,guscih_P1,triclinic,-,13.228,-,-,-
GUSCIH01,guscih01_P1,triclinic,-,11.864,-,-,-
GUSLUC,gusluc_P1,cubic,-,20.607,-,-,-
GUSMAJ,gusmaj_P1,cubic,-,21.118,-,-,-
GUSNEN,gusnen_P1_H,monoclinic,-,17.835,-,Yes,-
GUSNOY,gusnoy_P1_H,tetragonal,-,28.534,-,Yes,-
GUSPUG,guspug_P1,hexagonal,-,36.014,-,-,-
GUTCEF,gutcef_P1_charged_H,rhombohedral,Yes,15.001,Yes,Yes,Yes
GUTCIJ,gutcij_P1_charged_H,rhombohedral,Yes,15.238,Yes,Yes,Yes
GUVYAA,guvyaa_P1_charged,orthorhombic,-,53.88,Yes,-,-
GUVZEE,guvzee_P1,rhombohedral,-,46.232,-,-,-
GUVZII,guvzii_P1,rhombohedral,-,46.73,-,-,-
GUWDUY,guwduy_P1,triclinic,-,48.413,-,-,-
GUWNUI,guwnui_P1,tetragonal,-,26.581,-,-,-
GUXJUF,guxjuf_P1_H,monoclinic,-,23.001,-,Yes,Yes
GUXQAR,guxqar_P1_H,triclinic,-,25.453,-,Yes,-
GUXQUM,guxqum_P1_charged,monoclinic,Yes,81.834,Yes,-,-
GUXRAT,guxrat_P1_charged,hexagonal,Yes,41.639,Yes,-,-
GUXRID,guxrid_P1_H,cubic,Yes,55.451,-,Yes,-
GUXSEY,guxsey_P1,orthorhombic,-,22.445,-,-,-
GUXSIC,guxsic_P1,orthorhombic,-,21.333,-,-,-
GUXSOI,guxsoi_P1,triclinic,-,10.15,-,-,-
GUXZIJ,guxzij_P1_charged,triclinic,-,16.949,Yes,-,-
GUYLOC,guyloc_P1,monoclinic,-,46.445,-,-,-
GUYLUI,guylui_P1,monoclinic,-,16.253,-,-,-
GUYLUI01,guylui01_P1,monoclinic,-,16.458,-,-,-
GUYMAP,guymap_P1,monoclinic,-,45.434,-,-,-
GUZHAN,guzhan_P1,monoclinic,-,15.748,-,-,-
GUZQEA,guzqea_P1_charged,orthorhombic,Yes,13.663,Yes,-,-
GUZVUU,guzvuu_P1_charged,cubic,-,37.349,Yes,-,-
HABQUY,habquy_P1_H,cubic,-,85.999,-,Yes,Yes
HABREJ,habrej_P1,tetragonal,Yes,51.431,-,-,-
HABROT,habrot_P1,monoclinic,-,17.306,-,-,-
HACNIL,hacnil_P1,tetragonal,-,46.855,-,-,-
HACTEL,hactel_P1_H,monoclinic,-,20.782,-,Yes,-
HADLEH,hadleh_P1,orthorhombic,Yes,27.43,-,-,-
HADLOQ,hadloq_P1,tetragonal,Yes,59.814,-,-,-
HADLOQ01,hadloq01_P1,tetragonal,Yes,59.953,-,-,-
HADMAD,hadmad_P1,monoclinic,-,56.803,-,-,-
HADMAD01,hadmad01_P1,tetragonal,Yes,63.827,-,-,-
HADMIL,hadmil_P1,monoclinic,-,18.882,-,-,-
HADXIW,hadxiw_P1_H,triclinic,-,10.519,-,Yes,Yes
HAFDOI,hafdoi_P1,monoclinic,-,31.486,-,-,-
HAFDUO,hafduo_P1,monoclinic,-,28.872,-,-,-
HAFGUT,hafgut_P1,rhombohedral,Yes,54.95,-,-,-
HAFPUB,hafpub_P1,triclinic,-,22.391,-,-,-
HAFQOW,hafqow_P1_H,monoclinic,-,52.798,-,Yes,-
HAFQUC,hafquc_P1_H,monoclinic,-,52.477,-,Yes,-
HAFSOZ,hafsoz_P1,monoclinic,-,30.091,-,-,-
HAFVOB,hafvob_P1,orthorhombic,-,23.249,-,-,-
HAFVUH,hafvuh_P1,tetragonal,Yes,51.515,-,-,-
HAFWUI01,hafwui01_P1_charged,monoclinic,-,19.592,Yes,-,-
HAFXOE,hafxoe_P1_charged,cubic,Yes,10.469,Yes,-,-
HAGCOL,hagcol_P1_charged,monoclinic,-,26.783,Yes,-,-
HAGTAN,hagtan_P1_charged,monoclinic,-,15.416,Yes,-,-
HAGTIV,hagtiv_P1,rhombohedral,-,10.929,-,-,-
HAHCUR,hahcur_P1,monoclinic,-,39.429,-,-,-
HAHTIX,hahtix_P1_charged,monoclinic,-,43.439,Yes,-,-
HAJDII,hajdii_P1_charged,hexagonal,Yes,12.217,Yes,-,-
HAJJAE,hajjae_P1,monoclinic,-,14.111,-,-,-
HAJJAH,hajjah_P1_H,rhombohedral,Yes,82.528,-,Yes,-
HAJJEL,hajjel_P1_H,rhombohedral,Yes,81.682,-,Yes,-
HAJKIO,hajkio_P1,orthorhombic,-,37.417,-,-,-
HAJKOU,hajkou_P1,orthorhombic,-,35.387,-,-,-
HAJYEA,hajyea_P1,orthorhombic,Yes,36.275,-,-,-
HAJYEZ,hajyez_P1,triclinic,-,22.392,-,-,-
HAKCIG,hakcig_P1,monoclinic,-,20.581,-,-,-
HAKPOC,hakpoc_P1,monoclinic,-,46.695,-,-,-
HAKVIB,hakvib_P1_charged,hexagonal,-,59.087,Yes,-,-
HAKVUN,hakvun_P1_charged_H,hexagonal,-,52.559,Yes,Yes,Yes
HAKWAU,hakwau_P1_H,hexagonal,-,50.753,-,Yes,Yes
HAKWUM,hakwum_P1,triclinic,-,12.107,-,-,-
HALBAB,halbab_P1,trigonal,Yes,23.573,-,-,-
HALBEF,halbef_P1,trigonal,Yes,23.758,-,-,-
HALBIJ,halbij_P1,trigonal,Yes,20.596,-,-,-
HALHEL,halhel_P1,monoclinic,-,45.646,-,-,-
HALNOB,halnob_P1_charged_H,orthorhombic,Yes,72.984,Yes,Yes,-
HALNUH,halnuh_P1_charged_H,orthorhombic,Yes,72.838,Yes,Yes,-
HALQUJ,halquj_P1,monoclinic,-,57.533,-,-,-
HALTUM,haltum_P1,monoclinic,-,17.912,-,-,-
HALVAU,halvau_P1,triclinic,-,22.18,-,-,-
HAMJOW,hamjow_P1,monoclinic,-,56.639,-,-,-
HAMLIT,hamlit_P1_charged_H,triclinic,-,49.541,Yes,Yes,Yes
HAMREU,hamreu_P1_H,trigonal,-,28.793,-,Yes,-
HAMRIY,hamriy_P1_H,trigonal,-,27.821,-,Yes,-
HAMXEC,hamxec_P1,triclinic,-,41.701,-,-,-
HAMXIG,hamxig_P1_H,hexagonal,-,64.395,-,Yes,Yes
HANFAG,hanfag_P1,monoclinic,-,10.66,-,-,-
HANKUE,hankue_P1_charged_H,cubic,-,61.725,Yes,Yes,Yes
HANMAO,hanmao_P1,orthorhombic,Yes,40.368,-,-,-
HANNUJ,hannuj_P1,monoclinic,-,22.709,-,-,-
HANPAR,hanpar_P1,monoclinic,-,22.493,-,-,-
HANWAW,hanwaw_P1_H,orthorhombic,-,60.754,-,Yes,Yes
HANXED,hanxed_P1,orthorhombic,-,44.201,-,-,-
HANZEF,hanzef_P1_H,hexagonal,-,72.513,-,Yes,Yes
HAPBOT,hapbot_P1_charged_H,monoclinic,-,11.042,Yes,Yes,-
HAPGIR,hapgir_P1,monoclinic,-,38.276,-,-,-
HAPHUD,haphud_P1,monoclinic,-,56.3,-,-,-
HAPJIV,hapjiv_P1,monoclinic,-,26.957,-,-,-
HAPNOE,hapnoe_P1,monoclinic,-,34.902,-,-,-
HAPNUK,hapnuk_P1,monoclinic,-,34.914,-,-,-
HAPPAS,happas_P1_H,monoclinic,-,35.411,-,Yes,Yes
HAPVAX,hapvax_P1_H,orthorhombic,-,20.218,-,Yes,Yes
HAPVEB,hapveb_P1_H,orthorhombic,-,20.223,-,Yes,Yes
HAPZUW,hapzuw_P1_charged,monoclinic,-,39.133,Yes,-,-
HAQJIV,haqjiv_P1_H,rhombohedral,Yes,66.735,-,Yes,-
HAQKES,haqkes_P1_charged_H,orthorhombic,-,43.182,Yes,Yes,-
HAQRID,haqrid_P1_charged,monoclinic,-,46.543,Yes,-,-
HAQROJ,haqroj_P1_charged,monoclinic,-,54.53,Yes,-,-
HARNAR,harnar_P1,monoclinic,-,13.855,-,-,-
HASRAY,hasray_P1,orthorhombic,-,23.155,-,-,-
HASSUR,hassur_P1_H,cubic,-,53.445,-,Yes,-
HASTAY,hastay_P1_H,monoclinic,-,37.779,-,Yes,Yes
HATYIO,hatyio_P1,orthorhombic,-,13.023,-,-,-
HAVPUT,havput_P1_charged_H,cubic,-,65.664,Yes,Yes,Yes
HAVZIP,havzip_P1_charged_H,monoclinic,-,15.041,Yes,Yes,Yes
HAWGOF,hawgof_P1,triclinic,-,27.629,-,-,-
HAWGUL,hawgul_P1,triclinic,-,28.627,-,-,-
HAWREE,hawree_P1_H,triclinic,-,41.325,-,Yes,-
HAWWIN,hawwin_P1,monoclinic,-,28.727,-,-,-
HAWWOT,hawwot_P1,monoclinic,-,31.131,-,-,-
HAWWUZ,hawwuz_P1,monoclinic,-,30.001,-,-,-
HAWYUB,hawyub_P1,monoclinic,-,33.428,-,-,-
HAWZEM,hawzem_P1,monoclinic,-,36.062,-,-,-
HAWZEM01,hawzem01_P1,monoclinic,-,34.863,-,-,-
HAXJEX,haxjex_P1,monoclinic,-,11.345,-,-,-
HAYFEW,hayfew_P1,monoclinic,-,43.431,-,-,-
HAYFIA,hayfia_P1,monoclinic,-,26.443,-,-,-
HAYLIE,haylie_P1_charged,monoclinic,Yes,19.304,Yes,-,-
HAYQEG,hayqeg_P1,triclinic,-,15.546,-,-,-
HAYSUY,haysuy_P1,monoclinic,-,24.589,-,-,-
HAYTAG,haytag_P1,monoclinic,-,16.592,-,-,-
HAYTEI,haytei_P1,monoclinic,-,19.264,-,-,-
HAYYOY,hayyoy_P1,rhombohedral,-,44.947,-,-,-
HAYYUE,hayyue_P1,rhombohedral,-,58.683,-,-,-
HAYZAL,hayzal_P1,rhombohedral,-,75.603,-,-,-
HAYZEP,hayzep_P1,rhombohedral,-,70.396,-,-,-
HAZGOF,hazgof_P1_H,orthorhombic,-,35.555,-,Yes,-
HAZGOF01,hazgof01_P1_H,monoclinic,-,35.216,-,Yes,-
HAZGOF02,hazgof02_P1_H,monoclinic,-,34.914,-,Yes,-
HAZGOF03,hazgof03_P1_H,orthorhombic,-,35.591,-,Yes,-
HAZGOF04,hazgof04_P1_H,orthorhombic,-,34.195,-,Yes,-
HAZGOF05,hazgof05_P1_H,orthorhombic,-,33.908,-,Yes,-
HAZGOF06,hazgof06_P1_H,orthorhombic,-,34.715,-,Yes,-
HAZGOF07,hazgof07_P1_H,orthorhombic,-,34.597,-,Yes,-
HAZGOF08,hazgof08_P1_H,orthorhombic,-,34.811,-,Yes,-
HAZGOF10,hazgof10_P1,orthorhombic,-,30.121,-,-,-
HAZGOF11,hazgof11_P1,orthorhombic,-,29.873,-,-,-
HAZGOF12,hazgof12_P1,orthorhombic,-,29.813,-,-,-
HAZGOF13,hazgof13_P1,orthorhombic,-,29.997,-,-,-
HAZGOF14,hazgof14_P1,orthorhombic,-,30.107,-,-,-
HAZGOF15,hazgof15_P1,orthorhombic,-,30.061,-,-,-
HAZGOF16,hazgof16_P1,orthorhombic,-,30.201,-,-,-
HAZGOF17,hazgof17_P1_H,orthorhombic,-,34.811,-,Yes,-
HAZLED,hazled_P1,monoclinic,-,39.306,-,-,-
HAZNIH,haznih_P1,monoclinic,-,21.418,-,-,-
HAZNON,haznon_P1,monoclinic,-,20.343,-,-,-
HAZPAB,hazpab_P1,monoclinic,-,11.101,-,-,-
HAZPOP,hazpop_P1,monoclinic,-,10.171,-,-,-
HAZSIL,hazsil_P1_H,orthorhombic,-,47.475,-,Yes,Yes
HAZTUB,haztub_P1,triclinic,-,32.845,-,-,-
HEBCEA,hebcea_P1_H,monoclinic,-,23.455,-,Yes,-
HEBFUS,hebfus_P1,trigonal,-,15.259,-,-,-
HEBJAB,hebjab_P1,triclinic,-,12.936,-,-,-
HEBKEG,hebkeg_P1,orthorhombic,Yes,30.485,-,-,-
HEBKIK,hebkik_P1,monoclinic,Yes,10.345,-,-,-
HEBZAR,hebzar_P1_H,rhombohedral,-,38.212,-,Yes,-
HEBZEV,hebzev_P1_H,rhombohedral,-,40.662,-,Yes,-
HECQUB,hecqub_P1,orthorhombic,-,62.222,-,-,-
HECVAQ,hecvaq_P1,monoclinic,-,32.336,-,-,-
HECXAS,hecxas_P1_H,monoclinic,-,13.627,-,Yes,-
HEDBID,hedbid_P1_H,triclinic,-,23.703,-,Yes,Yes
HEDBOJ,hedboj_P1_H,orthorhombic,-,17.0,-,Yes,-
HEDBUP,hedbup_P1_H,orthorhombic,-,17.361,-,Yes,-
HEDCAW,hedcaw_P1_H,monoclinic,-,33.631,-,Yes,-
HEDCEA,hedcea_P1,orthorhombic,-,21.816,-,-,-
HEDCIE,hedcie_P1,monoclinic,-,35.507,-,-,-
HEDGUS,hedgus_P1,monoclinic,-,13.571,-,-,-
HEDTER,hedter_P1,monoclinic,-,21.22,-,-,-
HEFDED,hefded_P1_H,rhombohedral,-,25.479,-,Yes,Yes
HEFDIH,hefdih_P1_H,rhombohedral,Yes,11.353,-,Yes,-
HEFDON,hefdon_P1_charged,triclinic,-,68.824,Yes,-,-
HEFDUT,hefdut_P1_charged_H,triclinic,-,43.986,Yes,Yes,-
HEFFEF,heffef_P1_charged,triclinic,-,68.382,Yes,-,-
HEFVAR,hefvar_P1,monoclinic,-,12.376,-,-,-
HEGJEM,hegjem_P1,monoclinic,-,24.568,-,-,-
HEGJUZ,hegjuz_P1,monoclinic,-,39.24,-,-,-
HEGPER,hegper_P1_charged,monoclinic,-,17.445,Yes,-,-
HEGPOB,hegpob_P1,monoclinic,-,22.669,-,-,-
HEHCOO,hehcoo_P1,trigonal,Yes,57.478,-,-,-
HEHKUD,hehkud_P1_charged_H,tetragonal,-,31.551,Yes,Yes,Yes
HEHLAK,hehlak_P1_charged_H,tetragonal,-,22.981,Yes,Yes,Yes
HEHQET,hehqet_P1,monoclinic,-,15.435,-,-,-
HEHTUM,hehtum_P1_H,monoclinic,-,11.148,-,Yes,-
HEHTUM01,hehtum01_P1_H,monoclinic,-,10.256,-,Yes,-
HEHVAU,hehvau_P1_H,monoclinic,-,28.105,-,Yes,Yes
HEHVOI,hehvoi_P1_H,tetragonal,-,19.073,-,Yes,-
HEHZAY,hehzay_P1_charged_H,orthorhombic,-,47.32,Yes,Yes,Yes
HEJCIL,hejcil_P1,tetragonal,-,50.918,-,-,-
HEJCOR,hejcor_P1,monoclinic,-,21.038,-,-,-
HEJCOR02,hejcor02_P1,monoclinic,-,19.167,-,-,-
HEJGAI,hejgai_P1,tetragonal,-,70.952,-,-,-
HEJNIW,hejniw_P1_H,monoclinic,-,25.585,-,Yes,-
HEJPIZ,hejpiz_P1,monoclinic,Yes,49.852,-,-,-
HEJQAR,hejqar_P1,cubic,-,40.822,-,-,-
HEJQEV,hejqev_P1,cubic,-,38.691,-,-,-
HEJQEV01,hejqev01_P1,cubic,-,36.989,-,-,-
HEJQIZ,hejqiz_P1,cubic,-,32.636,-,-,-
HEJTOI,hejtoi_P1_charged,rhombohedral,-,47.024,Yes,-,-
HEKTAU,hektau_P1,monoclinic,-,26.672,-,-,-
HELFAI,helfai_P1,tetragonal,Yes,48.734,-,-,-
HELFIP,helfip_P1,monoclinic,-,12.758,-,-,-
HEMBOT,hembot_P1_H,orthorhombic,-,46.564,-,Yes,-
HEMBUZ,hembuz_P1_H,orthorhombic,-,21.521,-,Yes,-
HEMTEZ,hemtez_P1_charged_H,orthorhombic,-,19.825,Yes,Yes,Yes
HENJOC,henjoc_P1,monoclinic,Yes,29.573,-,-,-
HENJUI,henjui_P1_H,orthorhombic,Yes,29.129,-,Yes,-
HENSEB,henseb_P1_charged,monoclinic,-,42.705,Yes,-,-
HENSEB01,henseb01_P1_charged,monoclinic,-,42.705,Yes,-,-
HENYOR,henyor_P1_H,orthorhombic,-,30.535,-,Yes,-
HENYUV,henyuv_P1,tetragonal,Yes,27.383,-,-,-
HENYUV01,henyuv01_P1,tetragonal,Yes,26.0,-,-,-
HENYUX,henyux_P1_H,orthorhombic,-,22.682,-,Yes,-
HEPCIR,hepcir_P1_H,monoclinic,-,27.54,-,Yes,-
HEPHIW,hephiw_P1_charged,monoclinic,-,21.633,Yes,-,-
HEPLOG,heplog_P1,monoclinic,-,16.763,-,-,-
HEPLUM,heplum_P1,monoclinic,-,26.472,-,-,-
HEPQUR,hepqur_P1_H,monoclinic,-,19.428,-,Yes,-
HEQCEO,heqceo_P1,monoclinic,-,10.193,-,-,-
HEQTAB,heqtab_P1,triclinic,-,21.734,-,-,-
HERHAQ,herhaq_P1_H,orthorhombic,-,73.739,-,Yes,Yes
HERHEU,herheu_P1_H,orthorhombic,-,69.629,-,Yes,Yes
HERHOE,herhoe_P1_H,orthorhombic,-,73.661,-,Yes,Yes
HERHUK02,herhuk02_P1_H,hexagonal,-,80.452,-,Yes,Yes
HERJAS,herjas_P1_H,orthorhombic,-,71.088,-,Yes,Yes
HERJOG,herjog_P1_H,tetragonal,-,70.246,-,Yes,Yes
HERMEZ,hermez_P1,monoclinic,-,41.413,-,-,-
HERMEZ01,hermez01_P1,triclinic,-,42.295,-,-,-
HERMEZ02,hermez02_P1,triclinic,-,43.122,-,-,-
HERMEZ03,hermez03_P1,triclinic,-,42.75,-,-,-
HERMEZ04,hermez04_P1,monoclinic,-,43.981,-,-,-
HERNEA,hernea_P1,monoclinic,-,42.113,-,-,-
HERNEA01,hernea01_P1,monoclinic,-,43.016,-,-,-
HERNEA02,hernea02_P1,monoclinic,-,43.841,-,-,-
HERXUA,herxua_P1,tetragonal,Yes,16.695,-,-,-
HESCUG,hescug_P1_H,rhombohedral,-,23.919,-,Yes,-
HESDAN,hesdan_P1_H,rhombohedral,-,26.87,-,Yes,-
HESVOR,hesvor_P1,tetragonal,-,27.309,-,-,-
HETCOB,hetcob_P1_charged_H,hexagonal,-,84.869,Yes,Yes,Yes
HEXHEZ,hexhez_P1,monoclinic,-,10.955,-,-,-
HEXNII,hexnii_P1,monoclinic,-,21.965,-,-,-
HEXQOT,hexqot_P1,tetragonal,-,34.796,-,-,-
HEXRIO,hexrio_P1,orthorhombic,-,40.193,-,-,-
HEXVEM,hexvem_P1_H,cubic,-,88.517,-,Yes,Yes
HEZSAG,hezsag_P1_H,monoclinic,-,10.348,-,Yes,-
HIBGEF,hibgef_P1,monoclinic,-,27.372,-,-,-
HIBGIJ,hibgij_P1,monoclinic,-,28.87,-,-,-
HIBPEQ,hibpeq_P1,monoclinic,-,22.99,-,-,-
HIBTEU,hibteu_P1,tetragonal,Yes,39.716,-,-,-
HICCUU,hiccuu_P1_H,orthorhombic,-,79.759,-,Yes,Yes
HICKAG,hickag_P1_H,triclinic,-,10.289,-,Yes,Yes
HICNIT,hicnit_P1_H,orthorhombic,-,80.893,-,Yes,Yes
HICNOZ,hicnoz_P1_H,orthorhombic,-,79.688,-,Yes,Yes
HICSOE,hicsoe_P1,cubic,-,10.314,-,-,-
HICTIZ,hictiz_P1,monoclinic,-,44.901,-,-,-
HICVOG,hicvog_P1,tetragonal,Yes,42.335,-,-,-
HICVUM,hicvum_P1_H,monoclinic,-,39.687,-,Yes,-
HIDBIH,hidbih_P1_H,monoclinic,-,17.097,-,Yes,Yes
HIDTEW,hidtew_P1,triclinic,-,15.946,-,-,-
HIDTIA,hidtia_P1,triclinic,-,14.934,-,-,-
HIDTUM,hidtum_P1,orthorhombic,-,66.329,-,-,-
HIFGIO,hifgio_P1,monoclinic,-,62.28,-,-,-
HIFGOU,hifgou_P1,triclinic,-,30.436,-,-,-
HIFHEL,hifhel_P1,monoclinic,-,19.16,-,-,-
HIFHIP,hifhip_P1_H,monoclinic,-,21.535,-,Yes,-
HIFTOG,hiftog_P1,rhombohedral,-,52.296,-,-,-
HIFTOG01,hiftog01_P1,rhombohedral,-,78.451,-,-,-
HIFTOG02,hiftog02_P1,rhombohedral,-,52.43,-,-,-
HIFTOG03,hiftog03_P1_H,cubic,-,79.435,-,Yes,-
HIFVEZ,hifvez_P1_charged,orthorhombic,-,40.106,Yes,-,-
HIFVUO,hifvuo_P1,tetragonal,-,59.857,-,-,-
HIFWAV,hifwav_P1,monoclinic,-,40.504,-,-,-
HIFZAY,hifzay_P1_charged_H,monoclinic,-,11.957,Yes,Yes,Yes
HIHFOV,hihfov_P1,monoclinic,-,29.211,-,-,-
HIHFUB,hihfub_P1_charged_H,monoclinic,-,38.849,Yes,Yes,-
HIHGOW,hihgow_P1,monoclinic,-,49.746,-,-,-
HIHJUF,hihjuf_P1,trigonal,-,29.736,-,-,-
HIHNUJ,hihnuj_P1,tetragonal,Yes,68.683,-,-,-
HIJSOK,hijsok_P1,tetragonal,Yes,31.178,-,-,-
HIKSIF,hiksif_P1,cubic,-,67.129,-,-,-
HILKIZ,hilkiz_P1,monoclinic,-,18.768,-,-,-
HILKOF,hilkof_P1,monoclinic,-,17.515,-,-,-
HIMSAY,himsay_P1_charged,orthorhombic,-,40.541,Yes,-,-
HINFER,hinfer_P1_charged,trigonal,-,16.39,Yes,-,-
HIPWOV,hipwov_P1_H,hexagonal,Yes,54.123,-,Yes,-
HIQDUJ,hiqduj_P1_H,tetragonal,-,56.152,-,Yes,-
HIQDUJ01,hiqduj01_P1_H,tetragonal,-,56.221,-,Yes,-
HIQDUJ02,hiqduj02_P1_H,tetragonal,-,56.319,-,Yes,-
HIQDUJ03,hiqduj03_P1_H,tetragonal,-,56.072,-,Yes,-
HIQDUJ04,hiqduj04_P1_H,tetragonal,-,56.365,-,Yes,-
HIQDUJ05,hiqduj05_P1_H,tetragonal,-,56.187,-,Yes,-
HIQDUJ06,hiqduj06_P1_H,tetragonal,-,56.152,-,Yes,-
HIQDUJ07,hiqduj07_P1_H,tetragonal,-,56.124,-,Yes,-
HIQDUJ08,hiqduj08_P1_H,tetragonal,-,56.066,-,Yes,-
HIQDUJ09,hiqduj09_P1_H,tetragonal,-,56.193,-,Yes,-
HIQJOI,hiqjoi_P1_charged,orthorhombic,-,18.137,Yes,-,-
HIQKAV,hiqkav_P1_charged,orthorhombic,-,15.273,Yes,-,-
HIQLIF,hiqlif_P1,hexagonal,-,79.273,-,-,-
HIQNIG,hiqnig_P1,monoclinic,-,31.549,-,-,-
HIQPEE,hiqpee_P1,tetragonal,-,12.805,-,-,-
HIQPII,hiqpii_P1,tetragonal,-,12.566,-,-,-
HIQTOT,hiqtot_P1,monoclinic,-,15.714,-,-,-
HIQTUZ,hiqtuz_P1,monoclinic,-,25.364,-,-,-
HISFUM,hisfum_P1,triclinic,-,18.736,-,-,-
HISGIB,hisgib_P1,triclinic,-,24.652,-,-,-
HISJEA,hisjea_P1_H,triclinic,-,11.076,-,Yes,-
HISJIE,hisjie_P1_H,orthorhombic,-,15.548,-,Yes,-
HIVBIA,hivbia_P1,monoclinic,-,29.168,-,-,-
HIVPIO,hivpio_P1,tetragonal,-,34.658,-,-,-
HIVPOU,hivpou_P1,tetragonal,-,35.02,-,-,-
HIVPUA,hivpua_P1,tetragonal,-,35.14,-,-,-
HIVQAG,hivqag_P1,monoclinic,Yes,22.511,-,-,-
HIWKII,hiwkii_P1,monoclinic,-,15.161,-,-,-
HIWXER,hiwxer_P1_H,monoclinic,-,14.431,-,Yes,Yes
HIWXER01,hiwxer01_P1,monoclinic,-,18.964,-,-,-
HIXDOH01,hixdoh01_P1_H,tetragonal,-,30.842,-,Yes,-
HIXWIU01,hixwiu01_P1,orthorhombic,Yes,10.625,-,-,-
HIXXAQ,hixxaq_P1_H,monoclinic,-,44.507,-,Yes,-
HIXXAQ01,hixxaq01_P1_H,monoclinic,-,44.525,-,Yes,-
HIYBEZ,hiybez_P1,orthorhombic,-,42.23,-,-,-
HIYBUN,hiybun_P1,orthorhombic,-,51.723,-,-,-
HIYCUQ,hiycuq_P1,orthorhombic,-,66.849,-,-,-
HIYGIH,hiygih_P1_H,tetragonal,-,68.02,-,Yes,Yes
HIYRAJ,hiyraj_P1_H,monoclinic,-,50.595,-,Yes,-
HIYZEV01,hiyzev01_P1,triclinic,-,19.274,-,-,-
HOCMOE,hocmoe_P1_charged_H,hexagonal,-,34.495,Yes,Yes,Yes
HOCXEF,hocxef_P1_charged,monoclinic,-,36.148,Yes,-,-
HOCZIL,hoczil_P1,tetragonal,Yes,29.762,-,-,-
HOCZOR,hoczor_P1,tetragonal,Yes,29.073,-,-,-
HOCZUX,hoczux_P1,tetragonal,Yes,31.414,-,-,-
HODWUS,hodwus_P1,monoclinic,-,23.65,-,-,-
HOFMAS,hofmas_P1,monoclinic,-,15.238,-,-,-
HOFRIG,hofrig_P1,monoclinic,-,10.398,-,-,-
