CSD refcode,CIF filename
HANZEF,hanzef_P1_H
HAPPAS,happas_P1_H
HAPVAX,hapvax_P1_H
HAPVEB,hapveb_P1_H
HASTAY,hastay_P1_H
HAVPUT,havput_P1_charged_H
HAVZIP,havzip_P1_charged_H
HAZSIL,hazsil_P1_H
HEDBID,hedbid_P1_H
HEFDED,hefded_P1_H
HEHKUD,hehkud_P1_charged_H
HEHLAK,hehlak_P1_charged_H
HEHVAU,hehvau_P1_H
HEHZAY,hehzay_P1_charged_H
HEMTEZ,hemtez_P1_charged_H
HERHAQ,herhaq_P1_H
HERHEU,herheu_P1_H
HERHOE,herhoe_P1_H
HERHUK02,herhuk02_P1_H
HERJAS,herjas_P1_H
HERJOG,herjog_P1_H
HETCOB,hetcob_P1_charged_H
HEXVEM,hexvem_P1_H
HICCUU,hiccuu_P1_H
HICKAG,hickag_P1_H
HICNIT,hicnit_P1_H
HICNOZ,hicnoz_P1_H
HIDBIH,hidbih_P1_H
HIFZAY,hifzay_P1_charged_H
HIWXER,hiwxer_P1_H
HIYGIH,hiygih_P1_H
HOCMOE,hocmoe_P1_charged_H
HOGLEV01,hoglev01_P1_H
HOMZEP,homzep_P1_H
HOQBOF,hoqbof_P1_H
HOWPOZ,howpoz_P1_H
HOWQOA,howqoa_P1_H
HOZBUV,hozbuv_P1_H
HOZFIN,hozfin_P1_charged_H
HUJGEA,hujgea_P1_H
HURQUG,hurqug_P1_H
IBABOF,ibabof_P1
IBABOF01,ibabof01_P1
IBABUL,ibabul_P1
IBACAS,ibacas_P1_H
IBASOX,ibasox_P1_H
IBITUK,ibituk_P1_charged_H
ICEPEM,icepem_P1_H
ICIVAS,icivas_P1_H
IDAGUR,idagur_P1_H
IFANOV,ifanov_P1_H
IFANUB,ifanub_P1_H
IFAPAJ,ifapaj_P1_H
IFOSIG,ifosig_P1_H
IGAHAB,igahab_P1_H
IGAHED,igahed_P1_H
IGAHED02,igahed02_P1_H
IGIFOW,igifow_P1_H
IGUFOH,igufoh_P1_charged_H
IHAZOH,ihazoh_P1_charged_H
IJANAJ,ijanaj_P1_H
IJEJEP,ijejep_P1_charged_H
IJEVEA,ijevea_P1_H
IJEVIE,ijevie_P1_charged_H
IJEXUS,ijexus_P1_charged_H
IJEYIG,ijeyig_P1_H
IJICAI,ijicai_P1_H
IJICIQ,ijiciq_P1_charged_H
IKETIB,iketib_P1_charged_H
IKETOH,iketoh_P1_charged_H
IKETUN,iketun_P1_H
