CSD refcode,CIF filename
CECKON,ceckon_P1_charged_H
CECVAI,cecvai_P1_H
CECVOW,cecvow_P1_H
CEFLEF,ceflef_P1_H
CEFNEJ,cefnej_P1_H
CEFNIN,cefnin_P1_H
CEFNOT,cefnot_P1_H
CEHKUW,cehkuw_P1_H
CEHLAD,cehlad_P1_H
CEJCAW,cejcaw_P1_charged_H
CELZIE,celzie_P1_H
CELZOK,celzok_P1_H
CELZUQ,celzuq_P1_H
CERMIV,cermiv_P1_H
CETFOX,cetfox_P1_H
CETJAN,cetjan_P1_H
CEZCOC,cezcoc_P1_charged_H
CIBCUO,cibcuo_P1_H
CIBTIT,cibtit_P1_H
CIDCAW,cidcaw_P1_H
CIDNIM,cidnim_P1_charged_H
CIFLAH,ciflah_P1_charged_H
CIJBAB,cijbab_P1_H
CIJLIT,cijlit_P1_charged_H
CILXED,cilxed_P1_H
CILXIH,cilxih_P1_H
CILXON,cilxon_P1_H
CIMTAV,cimtav_P1_charged_H
CIMTEZ,cimtez_P1_charged_H
CIPREZ,ciprez_P1_charged_H
CISKIA,ciskia_P1_H
CISMAT,cismat_P1_H
CISMAT01,cismat01_P1_H
CISMIC,cismic_P1_H
CITLOJ,citloj_P1_H
CITLUP,citlup_P1_H
CITMAW,citmaw_P1_H
CITXUZ,citxuz_P1_H
CIWYUD,ciwyud_P1_H
CIWZEP,ciwzep_P1_H
COBWEV,cobwev_P1_H
COCMAJ,cocmaj_P1_H
CODROD,codrod_P1_H
CODRUJ,codruj_P1_H
CODSUL,codsul_P1_H
COGNAO,cognao_P1_H
COJHIT,cojhit_P1_H
COKQAW,cokqaw_P1_charged_H
COKROL,cokrol_P1_H
COKRUR,cokrur_P1_H
COMDOY,comdoy_P1_H
COPBOB,copbob_P1_charged_H
COQHUN,coqhun_P1_charged_H
COQTEJ,coqtej_P1_H
COQYUF,coqyuf_P1_H
COSYER,cosyer_P1_H
COVJAB,covjab_P1_H
COVPAG,covpag_P1_H
COWMAD,cowmad_P1_H
COWMEH,cowmeh_P1_H
COWMIL,cowmil_P1_H
COWMOR,cowmor_P1_H
COWMUX,cowmux_P1_H
COWQUC,cowquc_P1_H
COWRAJ,cowraj_P1_H
COWROX,cowrox_P1_H
COWSAL,cowsal_P1_charged_H
COWSEP,cowsep_P1_H
COWXOC,cowxoc_P1_H
COXFOL,coxfol_P1_charged_H
COYTUG,coytug_P1_H
COYTUG01,coytug01_P1_H
COYVAO,coyvao_P1_H
COYVAO01,coyvao01_P1_H
COYVES,coyves_P1_H
COYVES01,coyves01_P1_H
COZMUA,cozmua_P1_H
CUBQIB,cubqib_P1_charged_H
CUCFEN,cucfen_P1_H
CUCFOX,cucfox_P1_charged_H
CUCKIV,cuckiv_P1_H
CUDHER,cudher_P1_H
CUFFEP,cuffep_P1_charged_H
CUFFUF,cuffuf_P1_charged_H
CUGQEC,cugqec_P1_H
CUIMDZ03,cuimdz03_P1_H
CUJXOW,cujxow_P1_H
CUJXUC,cujxuc_P1_H
CUKXOW,cukxow_P1_H
CUKXUC,cukxuc_P1_H
CUKYAJ,cukyaj_P1_H
CUMDEU,cumdeu_P1_H
CUMSEL,cumsel_P1_H
CUNFID,cunfid_P1_H
CUNGEY01,cungey01_P1_H
CUPSEO,cupseo_P1_H
CUSDIE,cusdie_P1_charged_H
CUSKOT,cuskot_P1_charged_H
CUSLAG,cuslag_P1_charged_H
CUTBEA,cutbea_P1_H
CUTBOK,cutbok_P1_H
CUTKEI,cutkei_P1_H
CUVHEH,cuvheh_P1_H
CUVHIL,cuvhil_P1_H
