CSD refcode,CIF filename
CUFDOX,cufdox_P1_charged
CUFFEP,cuffep_P1_charged_H
CUFFIT,cuffit_P1_charged
CUFFOZ,cuffoz_P1_charged
CUFFUF,cuffuf_P1_charged_H
CUKXEN,cukxen_P1_charged
CUMDIY,cumdiy_P1_charged
CUQSAK,cuqsak_P1_charged
CUSDIE,cusdie_P1_charged_H
CUSHEG,cusheg_P1_charged
CUSHIK,cushik_P1_charged
CUSHUW,cushuw_P1_charged
CUSJAE,cusjae_P1_charged
CUSJOS,cusjos_P1_charged
CUSKOT,cuskot_P1_charged_H
CUSLAG,cuslag_P1_charged_H
CUTFON,cutfon_P1_charged
CUTFUT,cutfut_P1_charged
CUTGAA,cutgaa_P1_charged
CUWNOZ,cuwnoz_P1_charged
CUYBIK,cuybik_P1_charged
DABFET,dabfet_P1_charged
DABFIX,dabfix_P1_charged
DACDIY,dacdiy_P1_charged_H
DACYUE,dacyue_P1_charged
DADTOS,dadtos_P1_charged
DADTOS01,dadtos01_P1_charged
DADTOS02,dadtos02_P1_charged
DADTOS04,dadtos04_P1_charged
DADTOS05,dadtos05_P1_charged
DADTOS06,dadtos06_P1_charged
DADTOS08,dadtos08_P1_charged
DADTOS12,dadtos12_P1_charged
DADTOS13,dadtos13_P1_charged
DADTOS14,dadtos14_P1_charged
DADTOS15,dadtos15_P1_charged
DADTOS16,dadtos16_P1_charged
DADTOS17,dadtos17_P1_charged
DADTUY,dadtuy_P1_charged
DADTUY14,dadtuy14_P1_charged_H
DADVAG,dadvag_P1_charged
DADVAG01,dadvag01_P1_charged
DADVAG02,dadvag02_P1_charged
DADVAG04,dadvag04_P1_charged
DADVAG05,dadvag05_P1_charged
DADVAG06,dadvag06_P1_charged
DADVAG08,dadvag08_P1_charged
DADVAG10,dadvag10_P1_charged
DAFJUS,dafjus_P1_charged
DAHCAS,dahcas_P1_charged
DAJWET,dajwet_P1_charged_H
DALCEZ,dalcez_P1_charged
DALJUZ,daljuz_P1_charged
DALKAG,dalkag_P1_charged
DALKEK,dalkek_P1_charged
DALSAN,dalsan_P1_charged
DALSER,dalser_P1_charged_H
DAMQUF,damquf_P1_charged
DANZAV,danzav_P1_charged_H
DANZEZ,danzez_P1_charged_H
DANZID,danzid_P1_charged_H
DAPVAV,dapvav_P1_charged
DAPYAW,dapyaw_P1_charged_H
DARCOQ,darcoq_P1_charged
DARCUW,darcuw_P1_charged
DARDAD,dardad_P1_charged
DARDEH,dardeh_P1_charged
DARDIL,dardil_P1_charged
DARDOR,dardor_P1_charged
DARDUX,dardux_P1_charged
DARFAF,darfaf_P1_charged
DARFEJ,darfej_P1_charged
DARFIN,darfin_P1_charged
DARFOT,darfot_P1_charged
DARNUJ,darnuj_P1_charged
DASHAK,dashak_P1_charged
DASTEY01,dastey01_P1_charged
DASTEY02,dastey02_P1_charged
DAXFEQ,daxfeq_P1_charged
DAXKOE,daxkoe_P1_charged
DAXNIA,daxnia_P1_charged
DAXNIA01,daxnia01_P1_charged
DAXNIA02,daxnia02_P1_charged
DAXNIA03,daxnia03_P1_charged
DAXNIA04,daxnia04_P1_charged_H
DAXQUS,daxqus_P1_charged
DECVIT,decvit_P1_charged
DEDFEB,dedfeb_P1_charged
DEGPEL,degpel_P1_charged_H
DEHFUR,dehfur_P1_charged_H
DEHFUR01,dehfur01_P1_charged
DEQMOE,deqmoe_P1_charged
DERBIO,derbio_P1_charged
DEWQUS,dewqus_P1_charged_H
DEYMOL,deymol_P1_charged
DEZCER,dezcer_P1_charged
DIBJIJ,dibjij_P1_charged
DIFZAW,difzaw_P1_charged
DIHPIU,dihpiu_P1_charged
DIRPIF,dirpif_P1_charged
DIVPUU,divpuu_P1_charged
DIVRUY,divruy_P1_charged_H
